Sample,Rings,Trophs,Schizonts
AA131,0.976470588,0.021568627,0.001960784
AA132,0.972222222,0.01984127,0.007936508
AA133,0.99,0.004,0.006
AA134,0.974103586,0.021912351,0.003984064
AA135,0.969818913,0.026156942,0.004024145
AA136,0.954455446,0.045544554,0
AA137,0.947895792,0.038076152,0.014028056
AA138,0.604868914,0.393258427,0.001872659
AA139,0.638339921,0.35770751,0.003952569
AA1310,0.347572816,0.648543689,0.003883495
AA1311,0.134874759,0.857418112,0.007707129
AA1312,0.116504854,0.829126214,0.054368932
AA1313,0.005952381,0.867063492,0.126984127
AA1314,0.090551181,0.82480315,0.084645669
AA1315,0.075848303,0.806387226,0.117764471
AA1316,0.068762279,0.809430255,0.121807466
AA171,0.975746269,0.020522388,0.003731343
AA172,0.963178295,0.025193798,0.011627907
AA173,0.988,0.006,0.006
AA174,0.980079681,0.015936255,0.003984064
AA175,0.940711462,0.057312253,0.001976285
AA176,0.969465649,0.030534351,0
AA177,0.89453125,0.1015625,0.00390625
AA178,0.961165049,0.023300971,0.015533981
AA179,0.407540395,0.592459605,0
AA1710,0.382178218,0.607920792,0.00990099
AA1711,0.077689243,0.880478088,0.041832669
AA1712,0.091816367,0.876247505,0.031936128
AA1713,0.066666667,0.878431373,0.054901961
AA1714,0.054368932,0.906796117,0.038834951
AA1715,0.047904192,0.884231537,0.067864271
AA1716,0.049800797,0.836653386,0.113545817
AS151,0.969811321,0.01509434,0.01509434
AS152,0.966135458,0.025896414,0.007968127
AS153,0.958661417,0.041338583,0
AS154,0.982421875,0.01171875,0.005859375
AS155,0.964426877,0.035573123,0
AS156,0.972,0.028,0
AS157,0.942800789,0.055226824,0.001972387
AS158,0.726396917,0.273603083,0
AS159,0.761431412,0.232604374,0.005964215
AS1510,0.284860558,0.711155378,0.003984064
AS1511,0.025948104,0.952095808,0.021956088
AS1512,0.13618677,0.821011673,0.042801556
AS1513,0.11003861,0.787644788,0.102316602
AS1514,0.151340996,0.80651341,0.042145594
AS1515,0.095238095,0.865079365,0.03968254
AS1516,0.076470588,0.850980392,0.07254902
AS161,0.982107356,0.011928429,0.005964215
AS162,0.977099237,0.015267176,0.007633588
AS163,0.962598425,0.029527559,0.007874016
AS164,0.96007984,0.03992016,0
AS165,0.958083832,0.041916168,0
AS166,0.980119284,0.017892644,0.001988072
AS167,0.936633663,0.059405941,0.003960396
AS168,0.760956175,0.239043825,0
AS169,0.42970297,0.564356436,0.005940594
AS1610,0.473161034,0.510934394,0.015904573
AS1611,0.145956607,0.848126233,0.00591716
AS1612,0.25,0.740079365,0.009920635
AS1613,0.14,0.84,0.02
AS1614,0.067829457,0.864341085,0.067829457
AS1615,0.096,0.826,0.078
AS1616,0.129482072,0.788844622,0.081673307
