,Ring,Trophozoite,Schizont
0,PF3D7_0501400,PF3D7_1035800,PF3D7_0912700
1,PF3D7_1337800,PF3D7_1001500,PF3D7_1323700
2,PF3D7_0808200,PF3D7_0831800,PF3D7_0414600
3,PF3D7_0913800,PF3D7_0113000,PF3D7_0302500
4,PF3D7_0220000,PF3D7_0830900,PF3D7_1035700
5,PF3D7_0301800,PF3D7_0936200,PF3D7_1419000
6,PF3D7_1115900,PF3D7_0702500,PF3D7_0930300
7,PF3D7_1001100.2,PF3D7_1478600,PF3D7_0525200
8,PF3D7_1001800,PF3D7_0601900,PF3D7_1146600
9,PF3D7_0814500,PF3D7_1476200,PF3D7_0724800
10,PF3D7_0202200,PF3D7_1401500,PF3D7_0614000
11,PF3D7_0918700,PF3D7_1301400,PF3D7_0518200
12,PF3D7_1224700,PF3D7_0532300,PF3D7_0932200
13,PF3D7_1240100,PF3D7_1477500,PF3D7_0617300
14,PF3D7_1010300,PF3D7_0301700,PF3D7_0105300
15,PF3D7_0731500,,PF3D7_1001600
16,PF3D7_0219700,,PF3D7_1116100
17,PF3D7_1342600,,PF3D7_0934800
18,PF3D7_0605900,,PF3D7_1422100
19,PF3D7_1463500,,PF3D7_1409400
20,PF3D7_0731800,,PF3D7_1124600
21,PF3D7_0301200,,PF3D7_1246200
22,PF3D7_1312500,,PF3D7_1339400
23,PF3D7_0628300.1,,PF3D7_1021900
24,PF3D7_0830500,,PF3D7_0622600
25,PF3D7_1102800,,PF3D7_1335100
26,PF3D7_1148800,,PF3D7_1224100
27,PF3D7_1149200,,PF3D7_1442100
28,PF3D7_1421100,,PF3D7_0905400
29,,,PF3D7_1319400
30,,,PF3D7_1425300
31,,,PF3D7_1028800
32,,,PF3D7_1326000
33,,,PF3D7_1356300
34,,,PF3D7_0503400
35,,,PF3D7_0503000
36,,,PF3D7_1405600
37,,,PF3D7_1223100
38,,,PF3D7_1410400
39,,,PF3D7_0207000
